"","DATE","age","bmr","height","m_active_time","m_calories","m_distance","m_inactive_time","m_lcat","m_lcit","m_steps","m_total_calories","s_asleep_time","s_awake","s_awake_time","s_awakenings","s_bedtime","s_clinical_deep","s_count","s_deep","s_duration","s_light","s_quality","s_rem","weight"
"132",20150512,23.3835616438356,1971.6543,1.87,5432,536.744517117066,8847,27180,554,7620,10358,2508.39881711707,4319,2180,34200,2,3641,0,1,8159,28448,20289,69,0,82
"133",20150513,23.386301369863,1971.63579315069,1.87,4083,374.32977950653,6254,26700,810,5340,7529,2345.96557265722,8040,1653,25800,1,7344,0,1,7856,17324,9468,48,0,82
"134",20150514,23.3890410958904,1971.61728630137,1.87,2929,298.747872502342,4870,28920,516,3300,5669,2270.36515880371,1080,2430,28800,1,641,0,1,10262,27349,17087,71,0,82
"135",20150515,23.3917808219178,1971.59877945205,1.87,3473,300.399336749367,5278,25680,791,5340,6387,2271.99811620142,2339,3152,27600,3,1888,0,1,14290,23893,9603,71,0,82
"136",20150516,23.3945205479452,1971.58027260274,1.87,4782,467.743129281408,7829,23700,1043,4380,9179,2439.32340188415,2398,1758,28500,1,1403,0,1,12562,25541,12979,73,0,82
"137",20150517,23.3972602739726,1971.56176575342,1.87,9597,865.494813159266,14377,22200,1475,3300,17366,2837.05657891269,2219,1678,19500,2,1539,0,1,8460,16343,7883,46,0,82
"138",20150518,23.4,1971.54325890411,1.87,5635,519.817235349455,8889,24660,1248,5640,10603,2491.36049425356,-2102,5506,24000,1,-5105,0,1,9663,25390,15727,68,0,82
"139",20150519,23.4027397260274,1971.52475205479,1.87,5271,530.076669534265,8619,27480,628,4320,10058,2501.60142158906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
"140",20150520,23.4054794520548,1971.50624520548,1.87,2570,211.757622777946,3805,28260,899,3960,4649,2183.26386798343,599,1023,27600,0,-71,0,1,9788,27008,17220,71,0,82
"141",20150521,23.4082191780822,1971.48773835616,1.87,4060,395.031903447423,6575,28500,543,6900,7727,2366.51964180359,-3481,1631,26700,1,-4399,0,1,9718,29643,19925,76,0,82
